X Curve4 
0.852754175662994 -3.24742388725281
0.911016881465912 -4.23711442947388
0.963982999324799 -4.93814563751221
1.05402541160583 -5.59793949127197
1.18114399909973 -6.46391868591309
1.3029659986496 -7.04123830795288
1.41949141025543 -7.65979480743408
1.56249988079071 -8.19587707519531
1.73728799819946 -8.73195934295654
1.8538134098053 -8.97938251495361
1.99682188034058 -9.3505163192749
2.09745740890503 -9.55670166015625
2.21927952766418 -9.72165012359619
2.38347434997559 -10.1752586364746
