          50          50
    106.000       -83.3000        .000000    
    108.000       -83.3000        .000000    
    110.000       -83.3000        .000000    
    112.000       -83.3000        .000000    
    114.000       -83.3000        .000000    
    116.000       -83.3000        .000000    
    118.000       -83.3000        .000000    
    120.000       -83.3000        .000000    
    122.000       -83.3000        .000000    
    124.000       -83.3000        .000000    
    126.000       -83.3000        .000000    
    128.000       -83.3000        .000000    
    130.000       -83.3000        .000000    
    132.000       -83.3000        .000000    
    134.000       -83.3000        .000000    
    136.000       -83.3000        .000000    
    138.000       -83.3000        .000000    
    140.000       -83.3000        .000000    
    142.000       -83.3000        .000000    
    144.000       -83.3000        .000000    
    146.000       -83.3000        .000000    
    148.000       -83.3000        .000000    
    150.000       -83.3000        .000000    
    152.000       -83.3000        .000000    
    154.000       -83.3000        .000000    
    156.000       -83.3000        .000000    
    158.000       -83.3000        .000000    
    160.000       -83.3000        .000000    
    162.000       -83.3000        .000000    
    164.000       -83.3000        .000000    
    166.000       -83.3000        .000000    
    168.000       -83.3000        .000000    
    170.000       -83.3000        .000000    
    172.000       -83.3000        .000000    
    174.000       -83.3000        .000000    
    176.000       -83.3000        .000000    
    178.000       -83.3000        .000000    
    180.000       -83.3000        .000000    
    182.000       -83.3000        .000000    
    184.000       -83.3000        .000000    
    186.000       -83.3000        .000000    
    188.000       -83.3000        .000000    
    190.000       -83.3000        .000000    
    192.000       -83.3000        .000000    
    194.000       -83.3000        .000000    
    196.000       -83.3000        .000000    
    198.000       -83.3000        .000000    
    200.000       -83.3000        .000000    
    202.000       -83.3000        .000000    
    204.000       -83.3000        .000000    
    106.000       -79.9000        .000000    
    108.000       -79.9000        .000000    
    110.000       -79.9000        .000000    
    112.000       -79.9000        .000000    
    114.000       -79.9000        .000000    
    116.000       -79.9000        .000000    
    118.000       -79.9000        .000000    
    120.000       -79.9000        .000000    
    122.000       -79.9000        .000000    
    124.000       -79.9000        .000000    
    126.000       -79.9000        .000000    
    128.000       -79.9000        .000000    
    130.000       -79.9000        .000000    
    132.000       -79.9000        .000000    
    134.000       -79.9000        .000000    
    136.000       -79.9000        .000000    
    138.000       -79.9000        .000000    
    140.000       -79.9000        .000000    
    142.000       -79.9000        .291965E-06
    144.000       -79.9000        .278225E-05
    146.000       -79.9000        .680027E-05
    148.000       -79.9000        .112863E-04
    150.000       -79.9000        .153927E-04
    152.000       -79.9000        .184835E-04
    154.000       -79.9000        .201349E-04
    156.000       -79.9000        .201349E-04
    158.000       -79.9000        .184835E-04
    160.000       -79.9000        .153927E-04
    162.000       -79.9000        .112864E-04
    164.000       -79.9000        .680027E-05
    166.000       -79.9000        .278225E-05
    168.000       -79.9000        .291965E-06
    170.000       -79.9000        .000000    
    172.000       -79.9000        .000000    
    174.000       -79.9000        .000000    
    176.000       -79.9000        .000000    
    178.000       -79.9000        .000000    
    180.000       -79.9000        .000000    
    182.000       -79.9000        .000000    
    184.000       -79.9000        .000000    
    186.000       -79.9000        .000000    
    188.000       -79.9000        .000000    
    190.000       -79.9000        .000000    
    192.000       -79.9000        .000000    
    194.000       -79.9000        .000000    
    196.000       -79.9000        .000000    
    198.000       -79.9000        .000000    
    200.000       -79.9000        .000000    
    202.000       -79.9000        .000000    
    204.000       -79.9000        .000000    
    106.000       -76.5000        .000000    
    108.000       -76.5000        .000000    
    110.000       -76.5000        .000000    
    112.000       -76.5000        .000000    
    114.000       -76.5000        .000000    
    116.000       -76.5000        .000000    
    118.000       -76.5000        .000000    
    120.000       -76.5000        .000000    
    122.000       -76.5000        .000000    
    124.000       -76.5000        .000000    
    126.000       -76.5000        .000000    
    128.000       -76.5000        .000000    
    130.000       -76.5000        .000000    
    132.000       -76.5000        .000000    
    134.000       -76.5000        .000000    
    136.000       -76.5000        .124179E-06
    138.000       -76.5000        .417752E-05
    140.000       -76.5000        .125845E-04
    142.000       -76.5000        .236496E-04
    144.000       -76.5000        .358891E-04
    146.000       -76.5000        .480316E-04
    148.000       -76.5000        .590172E-04
    150.000       -76.5000        .679981E-04
    152.000       -76.5000        .743387E-04
    154.000       -76.5000        .776149E-04
    156.000       -76.5000        .776149E-04
    158.000       -76.5000        .743387E-04
    160.000       -76.5000        .679981E-04
    162.000       -76.5000        .590172E-04
    164.000       -76.5000        .480316E-04
    166.000       -76.5000        .358891E-04
    168.000       -76.5000        .236496E-04
    170.000       -76.5000        .125845E-04
    172.000       -76.5000        .417755E-05
    174.000       -76.5000        .124188E-06
    176.000       -76.5000        .000000    
    178.000       -76.5000        .000000    
    180.000       -76.5000        .000000    
    182.000       -76.5000        .000000    
    184.000       -76.5000        .000000    
    186.000       -76.5000        .000000    
    188.000       -76.5000        .000000    
    190.000       -76.5000        .000000    
    192.000       -76.5000        .000000    
    194.000       -76.5000        .000000    
    196.000       -76.5000        .000000    
    198.000       -76.5000        .000000    
    200.000       -76.5000        .000000    
    202.000       -76.5000        .000000    
    204.000       -76.5000        .000000    
    106.000       -73.1000        .000000    
    108.000       -73.1000        .000000    
    110.000       -73.1000        .000000    
    112.000       -73.1000        .000000    
    114.000       -73.1000        .000000    
    116.000       -73.1000        .000000    
    118.000       -73.1000        .000000    
    120.000       -73.1000        .000000    
    122.000       -73.1000        .000000    
    124.000       -73.1000        .000000    
    126.000       -73.1000        .000000    
    128.000       -73.1000        .000000    
    130.000       -73.1000        .000000    
    132.000       -73.1000        .291965E-06
    134.000       -73.1000        .680027E-05
    136.000       -73.1000        .201348E-04
    138.000       -73.1000        .381762E-04
    140.000       -73.1000        .590172E-04
    142.000       -73.1000        .809618E-04
    144.000       -73.1000        .102527E-03
    146.000       -73.1000        .122440E-03
    148.000       -73.1000        .139643E-03
    150.000       -73.1000        .153287E-03
    152.000       -73.1000        .162736E-03
    154.000       -73.1000        .167566E-03
    156.000       -73.1000        .167566E-03
    158.000       -73.1000        .162736E-03
    160.000       -73.1000        .153287E-03
    162.000       -73.1000        .139643E-03
    164.000       -73.1000        .122440E-03
    166.000       -73.1000        .102527E-03
    168.000       -73.1000        .809618E-04
    170.000       -73.1000        .590172E-04
    172.000       -73.1000        .381764E-04
    174.000       -73.1000        .201350E-04
    176.000       -73.1000        .680033E-05
    178.000       -73.1000        .291965E-06
    180.000       -73.1000        .000000    
    182.000       -73.1000        .000000    
    184.000       -73.1000        .000000    
    186.000       -73.1000        .000000    
    188.000       -73.1000        .000000    
    190.000       -73.1000        .000000    
    192.000       -73.1000        .000000    
    194.000       -73.1000        .000000    
    196.000       -73.1000        .000000    
    198.000       -73.1000        .000000    
    200.000       -73.1000        .000000    
    202.000       -73.1000        .000000    
    204.000       -73.1000        .000000    
    106.000       -69.7000        .000000    
    108.000       -69.7000        .000000    
    110.000       -69.7000        .000000    
    112.000       -69.7000        .000000    
    114.000       -69.7000        .000000    
    116.000       -69.7000        .000000    
    118.000       -69.7000        .000000    
    120.000       -69.7000        .000000    
    122.000       -69.7000        .000000    
    124.000       -69.7000        .000000    
    126.000       -69.7000        .000000    
    128.000       -69.7000        .000000    
    130.000       -69.7000        .498117E-05
    132.000       -69.7000        .201349E-04
    134.000       -69.7000        .429627E-04
    136.000       -69.7000        .711332E-04
    138.000       -69.7000        .102527E-03
    140.000       -69.7000        .135236E-03
    142.000       -69.7000        .167566E-03
    144.000       -69.7000        .198033E-03
    146.000       -69.7000        .225364E-03
    148.000       -69.7000        .248501E-03
    150.000       -69.7000        .266595E-03
    152.000       -69.7000        .279012E-03
    154.000       -69.7000        .285326E-03
    156.000       -69.7000        .285326E-03
    158.000       -69.7000        .279012E-03
    160.000       -69.7000        .266595E-03
    162.000       -69.7000        .248501E-03
    164.000       -69.7000        .225364E-03
    166.000       -69.7000        .198033E-03
    168.000       -69.7000        .167566E-03
    170.000       -69.7000        .135236E-03
    172.000       -69.7000        .102527E-03
    174.000       -69.7000        .711333E-04
    176.000       -69.7000        .429628E-04
    178.000       -69.7000        .201349E-04
    180.000       -69.7000        .498117E-05
    182.000       -69.7000        .000000    
    184.000       -69.7000        .000000    
    186.000       -69.7000        .000000    
    188.000       -69.7000        .000000    
    190.000       -69.7000        .000000    
    192.000       -69.7000        .000000    
    194.000       -69.7000        .000000    
    196.000       -69.7000        .000000    
    198.000       -69.7000        .000000    
    200.000       -69.7000        .000000    
    202.000       -69.7000        .000000    
    204.000       -69.7000        .000000    
    106.000       -66.3000        .000000    
    108.000       -66.3000        .000000    
    110.000       -66.3000        .000000    
    112.000       -66.3000        .000000    
    114.000       -66.3000        .000000    
    116.000       -66.3000        .000000    
    118.000       -66.3000        .000000    
    120.000       -66.3000        .000000    
    122.000       -66.3000        .000000    
    124.000       -66.3000        .000000    
    126.000       -66.3000        .839484E-06
    128.000       -66.3000        .125845E-04
    130.000       -66.3000        .358891E-04
    132.000       -66.3000        .679981E-04
    134.000       -66.3000        .106368E-03
    136.000       -66.3000        .148668E-03
    138.000       -66.3000        .192778E-03
    140.000       -66.3000        .236791E-03
    142.000       -66.3000        .279012E-03
