X Curve4 
0.852754175662994 -5.66955280303955
0.911016881465912 -6.12427186965942
0.963982999324799 -6.4463677406311
1.07683968544006 -6.86974716186523
1.19588732719421 -7.2478985786438
1.3311687707901 -7.68907499313354
1.43398261070251 -8.00420093536377
1.56249988079071 -8.40044403076172
1.73728799819946 -8.88111400604248
1.87229430675507 -9.22268867492676
1.99682188034058 -9.43575954437256
2.09745740890503 -9.62061309814453
2.21861457824707 -9.55882263183594
2.35389590263367 -9.03361320495605
