 ktime
  59
time,ms iscu,At iscc,At iscl,At ipf1,At ipf2,At ipf3,At ipf4,At ipf5,At ipf6,At ihfc,At
  9.000e-002   1.070e+007   9.470e+006   1.061e+007   6.400e+005  -3.999e+005   3.603e+005 -1.598e+005   2.201e+005   6.800e+005   3.000e+003 
  1.400e-001   1.019e+007   9.016e+006   9.958e+006   5.939e+005  -4.170e+005   3.297e+005 -1.825e+005   1.813e+005   8.530e+005   2.231e+003 
  1.900e-001   9.681e+006   8.535e+006   9.303e+006   5.361e+005  -4.392e+005   2.967e+005 -2.095e+005   1.497e+005   1.032e+006   3.703e+003 
  2.400e-001   9.164e+006   8.039e+006   8.636e+006   4.486e+005  -4.603e+005   2.629e+005 -2.297e+005   1.178e+005   1.183e+006   7.667e+003 
  2.900e-001   8.635e+006   7.532e+006   7.955e+006   3.443e+005  -4.803e+005   2.334e+005 -2.435e+005   7.728e+004   1.304e+006   7.192e+003 
  3.400e-001   8.097e+006   7.019e+006   7.260e+006   2.253e+005  -4.997e+005   2.055e+005 -2.511e+005   3.020e+004   1.414e+006   8.366e+003 
  3.900e-001   7.548e+006   6.498e+006   6.556e+006   9.987e+004  -5.191e+005   1.788e+005 -2.543e+005  -2.318e+004   1.527e+006   1.028e+004 
  4.400e-001   6.993e+006   5.967e+006   5.867e+006  -1.461e+003  -5.406e+005   1.587e+005 -2.558e+005  -8.523e+004   1.639e+006   8.126e+003 
  4.900e-001   6.442e+006   5.425e+006   5.233e+006  -8.630e+004  -5.667e+005   1.446e+005 -2.499e+005  -1.494e+005   1.742e+006   8.777e+003 
  5.400e-001   5.896e+006   4.854e+006   4.640e+006  -1.291e+005  -5.959e+005   1.316e+005 -2.478e+005  -2.131e+005   1.853e+006   9.728e+003 
  5.900e-001   5.352e+006   4.253e+006   4.065e+006  -1.365e+005  -6.267e+005   1.201e+005 -2.520e+005  -2.740e+005   1.960e+006   8.041e+003 
  6.400e-001   4.810e+006   3.635e+006   3.491e+006  -1.456e+005  -6.572e+005   1.086e+005 -2.573e+005  -3.324e+005   2.056e+006   8.819e+003 
  6.900e-001   4.265e+006   3.014e+006   2.905e+006  -1.570e+005  -6.875e+005   9.984e+004 -2.622e+005  -3.912e+005   2.144e+006   7.398e+003 
  7.400e-001   3.743e+006   2.401e+006   2.316e+006  -1.762e+005  -7.164e+005   8.773e+004 -2.649e+005  -4.507e+005   2.224e+006   7.383e+003 
  7.900e-001   3.283e+006   1.815e+006   1.788e+006  -1.333e+005  -7.476e+005   7.394e+004 -2.691e+005  -5.197e+005   2.306e+006   6.615e+003 
  8.400e-001   2.869e+006   1.245e+006   1.331e+006  -7.347e+004  -7.776e+005   6.283e+004 -2.696e+005  -5.953e+005   2.413e+006   2.308e+003 
  8.900e-001   2.483e+006   6.568e+005   9.340e+005   8.075e+002  -7.862e+005   4.503e+004 -2.725e+005  -6.666e+005   2.551e+006   9.179e+001 
  9.400e-001   2.108e+006   3.060e+004   5.805e+005   7.916e+004  -7.714e+005   1.656e+004 -2.837e+005  -7.270e+005   2.690e+006  -1.260e+003 
  9.900e-001   1.729e+006  -6.177e+005   2.526e+005   1.382e+005  -7.464e+005  -1.733e+004 -2.982e+005  -7.808e+005   2.810e+006  -3.238e+003 
  1.040e+000   1.332e+006  -1.258e+006  -9.332e+004   1.620e+005  -7.325e+005  -4.411e+004 -3.196e+005  -8.313e+005   2.996e+006  -1.856e+003 
  1.090e+000   9.239e+005  -1.868e+006  -5.257e+005   1.682e+005  -7.594e+005  -4.142e+004 -3.564e+005  -8.721e+005   3.309e+006   3.447e+001 
  1.140e+000   5.176e+005  -2.457e+006  -9.930e+005   1.832e+005  -7.964e+005  -2.504e+004 -3.995e+005  -9.081e+005   3.603e+006   9.301e+002 
  1.190e+000   1.160e+005  -3.031e+006  -1.469e+006   1.913e+005  -8.337e+005  -1.558e+003 -4.420e+005  -9.543e+005   3.879e+006  -2.025e+003 
  1.240e+000  -2.838e+005  -3.584e+006  -1.944e+006   1.829e+005  -8.697e+005   2.388e+004 -4.815e+005  -1.011e+006   4.163e+006  -5.370e+003 
  1.290e+000  -4.739e+005  -4.683e+006  -2.676e+006   2.295e+005  -9.187e+005   6.309e+004 -5.408e+005  -9.939e+005   4.411e+006  -1.168e+004 
  1.340e+000  -9.801e+005  -5.075e+006  -3.080e+006   3.000e+005  -9.696e+005   1.024e+005 -6.094e+005  -9.079e+005   4.713e+006  -6.829e+003 
  1.390e+000  -1.556e+006  -5.134e+006  -3.594e+006   5.198e+005  -1.011e+006   1.051e+005 -6.551e+005  -8.418e+005   4.606e+006  -2.573e+003 
  1.440e+000  -2.103e+006  -5.497e+006  -4.170e+006   7.291e+005  -1.047e+006   8.498e+004 -6.856e+005  -8.378e+005   4.531e+006  -6.260e+003 
  1.490e+000  -2.761e+006  -5.827e+006  -4.614e+006   9.422e+005  -1.081e+006   7.323e+004 -7.095e+005  -8.906e+005   4.836e+006  -6.215e+003 
  1.540e+000  -3.369e+006  -6.169e+006  -4.982e+006   1.132e+006  -1.078e+006   6.739e+004 -7.314e+005  -9.735e+005   5.176e+006  -1.586e+004 
  1.590e+000  -4.096e+006  -6.695e+006  -5.083e+006   1.304e+006  -1.034e+006   4.875e+004 -7.513e+005  -1.071e+006   5.511e+006  -2.646e+004 
