 ktime
  59
tt,s ipl,A rmag,m zmag,m a,m k95 dlt95 li q95 tau,s ne_19,m-3 te0,eV 
  1.640e+000   2.002e+006   1.579e+000   2.446e-002   6.721e-001   1.781e+000   4.286e-001  7.149e-001   4.395e+000   1.774e-001   5.000e+019   1.624e+003 
  1.690e+000   1.988e+006   1.570e+000   4.316e-002   6.579e-001   1.789e+000   4.128e-001  7.238e-001   4.259e+000   1.668e-001   5.000e+019   1.766e+003 
  1.740e+000   1.988e+006   1.560e+000   5.849e-002   6.461e-001   1.800e+000   4.012e-001  7.280e-001   4.159e+000   1.589e-001   5.000e+019   1.840e+003 
  1.790e+000   2.001e+006   1.551e+000   7.244e-002   6.409e-001   1.815e+000   3.944e-001  7.362e-001   4.159e+000   1.569e-001   5.000e+019   1.816e+003 
  1.840e+000   2.001e+006   1.551e+000   8.055e-002   6.399e-001   1.813e+000   3.844e-001  7.438e-001   4.128e+000   1.570e-001   5.000e+019   1.778e+003 
  1.890e+000   2.000e+006   1.553e+000   8.275e-002   6.408e-001   1.811e+000   3.776e-001  7.530e-001   4.121e+000   1.593e-001   5.000e+019   1.737e+003 
  1.940e+000   1.998e+006   1.555e+000   8.101e-002   6.417e-001   1.811e+000   3.727e-001  7.623e-001   4.132e+000   1.618e-001   5.000e+019   1.721e+003 
  1.990e+000   2.007e+006   1.558e+000   8.231e-002   6.456e-001   1.804e+000   3.715e-001  7.634e-001   4.119e+000   1.621e-001   5.000e+019   1.696e+003 
  2.040e+000   1.998e+006   1.558e+000   7.711e-002   6.439e-001   1.810e+000   3.711e-001  7.774e-001   4.165e+000   1.645e-001   5.000e+019   1.710e+003 
  2.090e+000   1.999e+006   1.558e+000   7.330e-002   6.435e-001   1.812e+000   3.702e-001  7.832e-001   4.168e+000   1.650e-001   5.000e+019   1.724e+003 
  2.140e+000   2.001e+006   1.559e+000   7.498e-002   6.444e-001   1.813e+000   3.713e-001  7.883e-001   4.181e+000   1.665e-001   5.000e+019   1.722e+003 
