X Curve4 
0.817409873008728 -6.02941179275513
0.911016881465912 -6.90196800231934
0.963982999324799 -7.40471935272217
1.07683968544006 -8.06557846069336
1.19588732719421 -8.65583801269531
1.31104052066803 -9.33823585510254
1.43312120437622 -9.96848773956299
1.59235680103302 -10.5987396240234
1.73728799819946 -11.2051124572754
1.8736732006073 -11.6491594314575
2.00106167793274 -11.8067226409912
2.09745740890503 -12.3593997955322
2.20806813240051 -12.6470594406128
2.33545660972595 -13.1722688674927
